"","year","facility","city","state","facilityClergy","bishop","cmdmWorker","serviceRegularity","serviceFrequency","place","lat","lng"
"692",1875,"Grace Church","Providence","Rhode Island","David H. Greer","Thomas M. Clark","","itinerant","","Providence, Rhode Island",41.8239891,-71.4128343
"693",1877,"","Providence","Rhode Island","","Thomas M. Clark","Job Turner","Itinerant","intermittent","Providence, Rhode Island",41.8239891,-71.4128343
"694",1877,"","Pawtucket","Rhode Island","","Thomas M. Clark","Job Turner","Itinerant","once","Pawtucket, Rhode Island",41.878711,-71.3825558
"695",1877,"","Newport","Rhode Island","","Thomas M. Clark","Job Turner","Itinerant","once","Newport, Rhode Island",41.5524614,-71.2703783
"696",1878,"Zion Church","Newport","Rhode Island","E.H. Kettell","Thomas M. Clark","Gallaudet","Itinerant","once","Newport, Rhode Island",41.5524614,-71.2703783
"697",1878,"Grace Church","Providence","Rhode Island","Charles H. Wheeler","Thomas M. Clark","Turner and Gallaudet","Itinerant","intermittent","Providence, Rhode Island",41.8239891,-71.4128343
"698",1879,"St. Barnabas' Church","Providence","Rhode Island","","Thomas M. Clark","Chamberlain","promotional","once","Providence, Rhode Island",41.8239891,-71.4128343
"699",1879,"Grace Church","Providence","Rhode Island","David H. Greer","Thomas M. Clark","Chamberlain","promotional","once","Providence, Rhode Island",41.8239891,-71.4128343
"700",1879,"St. James' Church","Woonsocket","Rhode Island","Joseph L. Miller","Thomas M. Clark","Turner","itinerant","","Woonsocket, Rhode Island",42.0028761,-71.5147839
"701",1878,"Trinity Church","Columbia","South Carolina","Peter J. Shand","William B.W. Howe","Job Turner","Itinerant","","Columbia, South Carolina",38.8897441,-77.0408608
"702",1878,"St. Phillip's Church","Charleston","South Carolina","John Johnson","William B.W. Howe","Job Turner","Itinerant","","Charleston, South Carolina",32.7876012,-79.9402728
"703",1878,"South Carolina Institution for Deaf-Mutes","Cedar Spring","South Carolina","","","Job Turner","Itinerant","","Cedar Spring, South Carolina",34.5167799,-82.5305271
"704",1879,"Grace Church","Charleston","South Carolina","C.C. Pickney","William B.W. Howe","Gallaudet, Turner","itinerant","","Charleston, South Carolina",32.7876012,-79.9402728
"705",1879,"Church of Advent","Spartanburg","South Carolina","Milnor Jones","William B.W. Howe","Turner","itinerant","","Spartanburg, South Carolina",34.9498007,-81.9320157
"706",1880,"Calvary Church","Sioux Falls","South Dakota","Thomas B. Berry","William H. Hare","Berry, Gallaudet and Mann","itinerant","once","Sioux Falls, South Dakota",43.549973,-96.7003324
"707",1879,"St. Mary's Cathedral","Memphis","Tennessee","Charles T. Quintard","Charles T. Quintard","Turner","itinerant","","Memphis, Tennessee",35.1490215,-90.0516285
"708",1879,"Calvary Church","Memphis","Tennessee","George White","Charles T. Quintard","Turner","itinerant","","Memphis, Tennessee",35.1490215,-90.0516285
"709",1879,"St. David's Church","Jackson","Tennessee","","","Turner","itinerant","","Jackson, Tennessee",35.6144446,-88.8177418
"710",1879,"Christ Church","Nashville","Tennessee","W. Graham","Charles T. Quintard","Turner","itinerant","","Nashville, Tennessee",36.1622296,-86.7743531
"711",1879,"St. John's Church","Knoxville","Tennessee","Thomas Duncan","Charles T. Quintard","Turner","itinerant","","Knoxville, Tennessee",35.9603948,-83.9210261
"712",1878,"Trinity Church","Galveston","Texas","Stephen M. Bird","Alexander Gregg","Job Turner","Itinerant","","Galveston, Texas",29.299328,-94.7945882
"713",1878,"Texas Institution for Deaf-Mutes","Austin","Texas","","","Job Turner","Itinerant","","Austin, Texas",30.2711286,-97.7436995
"714",1868,"St. Michael's Church","Brattleboro","Vermont","Francis W. Smith","William H.A. Bissell","Thomas Gallaudet","itinerant","once","Brattleboro, Vermont",42.8509152,-72.5578678
"715",1879,"St. Andrew's Church","St. Johnsbury","Vermont","Nathaniel F. Putnam","William H.A. Bissell","Chamberlain","itinerant","once","St. Johnsbury, Vermont",44.4192249,-72.0150951
"716",1879,"St. John's Church","West Randolph","Vermont","Thomas J. Taylor","William H.A. Bissell","Turner","itinerant","","West Randolph, Vermont",43.925099,-72.666321
"717",1878,"Trinity Church","Staunton","Virginia","Walter Q. Hullihen","Francis M. Whittle","Job Turner","Itinerant","","Staunton, Virginia",38.1495947,-79.072557
"718",1878,"St. Paul's Church","Richmond","Virginia","Charles Minnegerode","Francis M. Whittle","Job Turner","Itinerant","","Richmond, Virginia",37.5385087,-77.43428
"719",1878,"Grace Church","Petersburg","Virginia","Churchill J. Gibson","Francis M. Whittle","Job Turner","Itinerant","","Petersburg, Virginia",37.227928,-77.4019268
"720",1878,"Christ Church","Norfolk","Virginia","O.S. Barten","Francis M. Whittle","Job Turner","Itinerant","","Norfolk, Virginia",36.8462923,-76.2929252
"721",1878,"Virginia Institution for Deaf-Mutes","Staunton","Virginia","","","Job Turner","Itinerant","","Staunton, Virginia",38.1495947,-79.072557
"722",1879,"Virginia Institution","Staunton","Virginia","","","Gallaudet and Turner","itinerant","","Staunton, Virginia",38.1495947,-79.072557
"723",1879,"Christ Church","Norfolk","Virginia","O.S. Barten","Francis M. Whittle","Gallaudet, Turner","itinerant","","Norfolk, Virginia",36.8462923,-76.2929252
"724",1879,"Grace Church","Petersburg","Virginia","Churchill J. Gibson","Francis M. Whittle","Turner","itinerant","","Petersburg, Virginia",37.227928,-77.4019268
"725",1879,"St. Paul's Church","Lynchburg","Virginia","T.M. Carson","Francis M. Whittle","Turner","itinerant","","Lynchburg, Virginia",37.4137536,-79.1422464
"726",1879,"St. James' Church","Richmond","Virginia","Charles Minnigerode","Francis M. Whittle","Turner","itinerant","","Richmond, Virginia",37.5385087,-77.43428
"727",1879,"Grace Church","Petersburg","Virginia","Churchill J. Gibson","Francis M. Whittle","Turner","itinerant","","Petersburg, Virginia",37.227928,-77.4019268
"728",1879,"St. Paul's Church","Richmond","Virginia","Charles Minnigerode","Francis M. Whittle","Turner","itinerant","","Richmond, Virginia",37.5385087,-77.43428
"729",1879,"Trinity Church","Staunton","Virginia","Walter Q. Hullihen","Francis M. Whittle","Turner, Gallaudet","itinerant","","Staunton, Virginia",38.1495947,-79.072557
"730",1880,"Monumental Church","Richmond","Virginia","J.G. Armstrong","Francis M. Whittle","Gallaudet","itinerant","once","Richmond, Virginia",37.5385087,-77.43428
"731",1880,"St. Paul's Church","Richmond","Virginia","Charles Minnigerode","Francis M. Whittle","Gallaudet","itinerant","once","Richmond, Virginia",37.5385087,-77.43428
"732",1880,"Christ Church","Norfolk","Virginia","O.S. Barten","Francis M. Whittle","Gallaudet","itinerant","once","Norfolk, Virginia",36.8462923,-76.2929252
"733",1880,"Trinity Church","Staunton","Virginia","Walter Q. Hullihen","Francis M. Whittle","Gallaudet and Turner","itinerant","once","Staunton, Virginia",38.1495947,-79.072557
"734",1875,"St. Matthew's Church","Wheeling","West Virginia","J.G. Armstrong","John Johns","Austin Mann","itinerant","once","Wheeling, West Virginia",40.0642004,-80.721773
"735",1878,"St. Matthew's Church","Wheeling ","West Virginia","R. Rush Swope","George W. Peterkin","Job Turner","Itinerant","","Wheeling , West Virginia",40.0642004,-80.721773
"736",1878,"West Virginia Institution for Deaf-Mutes","Wheeling","West Virginia","","","Job Turner","Itinerant","","Wheeling, West Virginia",40.0642004,-80.721773
"737",1879,"West Virginia Institution for Deaf-Mutes and the Blind","Romney","West Virginia","","","Gallaudet and Turner","itinerant","once","Romney, West Virginia",39.3419698,-78.7564522
"738",1879,"Christ Church","Fairmont","West Virginia","George A. Gibbons","George W. Peterkin","Austin Mann","itinerant","once","Fairmont, West Virginia",39.4850848,-80.1425781
"739",1875,"","Milwaukee","Wisconsin","","Edward R. Welles","Austin Mann","itinerant","intermittent","Milwaukee, Wisconsin",43.0349931,-87.922497
"740",1876,"All Saints' Church","Milwaukee","Wisconsin","E.W. Spalding","Edward R. Welles","Austin Mann","itinerant","intermittent","Milwaukee, Wisconsin",43.0349931,-87.922497
"741",1876,"Christ Church","Delavan","Wisconsin","Edward R. Sweetland","Edward R. Welles","Austin Mann","Itinerant","once","Delavan, Wisconsin",42.6330703,-88.6437138
"742",1876,"St. Paul's Church","Racine","Wisconsin","","Edward R. Welles","Austin Mann","Itinerant","once","Racine, Wisconsin",42.7260523,-87.7825242
"743",1877,"All Saint's Cathedral","Milwaukee","Wisconsin","E.W. Spalding","Edward R. Welles","Austin Mann","itinerant","intermittent","Milwaukee, Wisconsin",43.0349931,-87.922497
"744",1878,"All Saint's Cathedral","Milwaukee","Wisconsin","E.W. Spalding","Edward R. Welles","Austin Mann","itinerent","intermittent","Milwaukee, Wisconsin",43.0349931,-87.922497
"745",1879,"","Milwaukee","Wisconsin","","Edward R. Welles","Berry","","","Milwaukee, Wisconsin",43.0349931,-87.922497
"746",1879,"Christ Church","Delavan","Wisconsin","Joel Clarke","Edward R. Welles","Berry","","","Delavan, Wisconsin",42.6330703,-88.6437138
"747",1880,"Trinity Church","Monroe","Wisconsin","Vacant","Edward R. Welles","Gallaudet and Mann","itinerant","","Monroe, Wisconsin",42.6136586,-89.5852052
"748",1880,"Grace Church","Madison","Wisconsin","Vacant","Edward R. Welles","Gallaudet and Mann","itinerant","once","Madison, Wisconsin",43.074761,-89.3837613
