year,facility,city,state,facilityClergy,bishop,cmdmWorker,serviceRegularity,serviceFrequency,place,lat,lng
1879,Virginia Institution,Staunton,Virginia,,,Gallaudet and Turner,itinerant,,"Staunton, Virginia",38.1495947,-79.072557
1879,Christ Church,Norfolk,Virginia,O.S. Barten,Francis M. Whittle,"Gallaudet, Turner",itinerant,,"Norfolk, Virginia",36.8462923,-76.2929252
1879,Grace Church,Petersburg,Virginia,Churchill J. Gibson,Francis M. Whittle,Turner,itinerant,,"Petersburg, Virginia",37.227928,-77.4019268
1879,St. Paul's Church,Lynchburg,Virginia,T.M. Carson,Francis M. Whittle,Turner,itinerant,,"Lynchburg, Virginia",37.4137536,-79.1422464
1879,St. James' Church,Richmond,Virginia,Charles Minnigerode,Francis M. Whittle,Turner,itinerant,,"Richmond, Virginia",37.5385087,-77.43428
1879,Grace Church,Petersburg,Virginia,Churchill J. Gibson,Francis M. Whittle,Turner,itinerant,,"Petersburg, Virginia",37.227928,-77.4019268
1879,St. Paul's Church,Richmond,Virginia,Charles Minnigerode,Francis M. Whittle,Turner,itinerant,,"Richmond, Virginia",37.5385087,-77.43428
1879,Trinity Church,Staunton,Virginia,Walter Q. Hullihen,Francis M. Whittle,"Turner, Gallaudet",itinerant,,"Staunton, Virginia",38.1495947,-79.072557
1880,Monumental Church,Richmond,Virginia,J.G. Armstrong,Francis M. Whittle,Gallaudet,itinerant,once,"Richmond, Virginia",37.5385087,-77.43428
1880,St. Paul's Church,Richmond,Virginia,Charles Minnigerode,Francis M. Whittle,Gallaudet,itinerant,once,"Richmond, Virginia",37.5385087,-77.43428
1880,Christ Church,Norfolk,Virginia,O.S. Barten,Francis M. Whittle,Gallaudet,itinerant,once,"Norfolk, Virginia",36.8462923,-76.2929252
1880,Trinity Church,Staunton,Virginia,Walter Q. Hullihen,Francis M. Whittle,Gallaudet and Turner,itinerant,once,"Staunton, Virginia",38.1495947,-79.072557
1875,St. Matthew's Church,Wheeling,West Virginia,J.G. Armstrong,John Johns,Austin Mann,itinerant,once,"Wheeling, West Virginia",40.0642004,-80.721773
1878,St. Matthew's Church,Wheeling ,West Virginia,R. Rush Swope,George W. Peterkin,Job Turner,Itinerant,,"Wheeling , West Virginia",40.0642004,-80.721773
1878,West Virginia Institution for Deaf-Mutes,Wheeling,West Virginia,,,Job Turner,Itinerant,,"Wheeling, West Virginia",40.0642004,-80.721773
1879,West Virginia Institution for Deaf-Mutes and the Blind,Romney,West Virginia,,,Gallaudet and Turner,itinerant,once,"Romney, West Virginia",39.3419698,-78.7564522
1879,Christ Church,Fairmont,West Virginia,George A. Gibbons,George W. Peterkin,Austin Mann,itinerant,once,"Fairmont, West Virginia",39.4850848,-80.1425781
1875,,Milwaukee,Wisconsin,,Edward R. Welles,Austin Mann,itinerant,intermittent,"Milwaukee, Wisconsin",43.0349931,-87.922497
1876,All Saints' Church,Milwaukee,Wisconsin,E.W. Spalding,Edward R. Welles,Austin Mann,itinerant,intermittent,"Milwaukee, Wisconsin",43.0349931,-87.922497
1876,Christ Church,Delavan,Wisconsin,Edward R. Sweetland,Edward R. Welles,Austin Mann,Itinerant,once,"Delavan, Wisconsin",42.6330703,-88.6437138
1876,St. Paul's Church,Racine,Wisconsin,,Edward R. Welles,Austin Mann,Itinerant,once,"Racine, Wisconsin",42.7260523,-87.7825242
1877,All Saint's Cathedral,Milwaukee,Wisconsin,E.W. Spalding,Edward R. Welles,Austin Mann,itinerant,intermittent,"Milwaukee, Wisconsin",43.0349931,-87.922497
1878,All Saint's Cathedral,Milwaukee,Wisconsin,E.W. Spalding,Edward R. Welles,Austin Mann,itinerent,intermittent,"Milwaukee, Wisconsin",43.0349931,-87.922497
1879,,Milwaukee,Wisconsin,,Edward R. Welles,Berry,,,"Milwaukee, Wisconsin",43.0349931,-87.922497
1879,Christ Church,Delavan,Wisconsin,Joel Clarke,Edward R. Welles,Berry,,,"Delavan, Wisconsin",42.6330703,-88.6437138
1880,Trinity Church,Monroe,Wisconsin,Vacant,Edward R. Welles,Gallaudet and Mann,itinerant,,"Monroe, Wisconsin",42.6136586,-89.5852052
1880,Grace Church,Madison,Wisconsin,Vacant,Edward R. Welles,Gallaudet and Mann,itinerant,once,"Madison, Wisconsin",43.074761,-89.3837613
